ID;Stambog;Tato;navn;breeder;far;mor;DKKtitler;Titler;LastVisit;Count;born;HD;AD;HZ;SP;Indexdato;HDindex;sex;farve;dead;AK;Avlsstatus;MB;billede;Ejer;Adresse;Postnr;By;telefon;email;url;log;brugernavn;adgangskode;Updated;BrugerCookie;BrugerIP;AddedBy;DateAdded
158;01049/2003;;Chabrinell´s Honey;;07625/2001;06025/96;DKCH;AK, Bp-B, FP;;0;03-01-2003;B;0;;;05-03-2007;108,2399979;T;Rg/hv;0;AK;1;1;;;;;;;;;;;;;;;;01-06-2003
159;01050/2003;;Chabrinell´s Halley;;07625/2001;06025/96;;;;0;03-01-2003;;;;;;0;T;Fejl;0;;0;0;;;;;;;;;;;;;;;;01-06-2003
160;01067/93;;Haxholm´s Fanja;;17129/87;19058/85;;;;0;24-12-1992;C1;;;;;0;T;T;0;AK;0;0;;;;;;;;;;;;;;;;
161;01070/93;;Haxholm´s Farro;;17129/87;19058/85;;;;0;24-12-1992;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
162;01093/83;;Jubileedelinde;;08577/78;00554/79;;;;0;08-12-1982;B1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
163;01094/83;;Jerry;;08577/78;00554/79;;;;0;08-12-1982;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
164;01095/83;;Janus;;08577/78;00554/79;;;;0;08-12-1982;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
165;01096/83;;Jackson;;08577/78;00554/79;;;;0;08-12-1982;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
166;01098/83;;Jocker;;08577/78;00554/79;;;;0;08-12-1982;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
167;01104/89;;Rieckholm´s Yankee;;27018/84;10586/85;;;;0;16-11-1988;B2;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
168;01115/94;;Ambrasaia;;24140/88;28980/88;;;;0;29-12-1993;B1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
169;01119/82;;Totters Fine Lady;;21142/77;04685/78;;;;0;02-11-1981;A2;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
170;01119/94;;Afra;;24140/88;28980/88;;;;0;29-12-1993;D2;;;;;0;T;;0;AK;0;0;;;;;;;;;;;;;;;;
171;01132/2002;;Bostobox Princess;;DBZB216528;03161/97;;Bp-AB, Bp-B, FP;;0;09-01-2002;A;;0;2;06-11-2006;115,5899963;T;Tg/hv;0;AK;0;1;;;;;;;;;;;;25-01-2015;;;;23-05-2002
172;DK01172/2007;2,08E+14;Bostobox Quasi;;17449/2003;02592/2006;;;;0;28-12-2006;;;;;;0;T;Tg/hv;0;;0;1;;;;;;;;;;;;;;;;31-03-2007
173;DK01173/2007;2,08E+14;Bostobox Qelle;;17449/2003;02592/2006;;;;0;28-12-2006;;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;25-02-2007
174;DK01174/2007;2,08E+14;Bostobox Quickli;;17449/2003;02592/2006;;;;0;28-12-2006;;;;;;0;T;Rg/hv;0;;0;1;;;;;;;;;;;;;;;;25-02-2007
175;DK01175/2007;2,08E+14;Bostobox Quintus;;17449/2003;02592/2006;;;;0;28-12-2006;;;;;;0;H;Rg/hv;1;;0;0;;;;;;;;;;;;;;;;25-02-2007
176;DK01176/2007;2,08E+14;Bostobox Quando;;17449/2003;02592/2006;DKCH;Bp-B, FP;;0;28-12-2006;C;0;1;;02-06-2008;96;H;Rg/hv;0;;0;1;;;;;;;;;;;;;;;;25-02-2007
177;DK01177/2007;2,08E+14;Bostobox Qmpan;;17449/2003;02592/2006;;;;0;28-12-2006;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;25-02-2007
178;DK01178/2007;2,08E+14;Bostobox Quince;;17449/2003;02592/2006;;AK;;0;28-12-2006;B;0;3;;09-08-2008;103;H;Tg/hv;0;AK;1;1;;;;;;;;;;;;;;;;25-02-2007
179;01196/2001;;Boxtras Necoline;;08477/96;19838/96;;;;0;03-01-2001;;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;12-05-2002
180;01202/80;;Tomi Kalle;;28383/77;06113/75;;;;0;;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
181;01202/81;;Klavizis Fanta;;DBZB152359;07631/76;;;;0;03-12-1980;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
182;01220/2002;;Kanto;;EJOPLYST;EJOPLYST;;;;0;25-01-1998;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;09-05-2002
183;01235/2006;2,08E+14;Von Drekise Siss;;01540/2003;16752/99;;;;0;02-01-2006;;;;;;0;T;Tg/hv;1;;0;0;;;;;;;;;;;;;;;;28-01-2008
184;01236/2006;2,08E+14;Von Drekise Stachy;;01540/2003;16752/99;;AK, UHP, Bp-AB, Bp-B, FP;;0;02-01-2006;A;0;;;13-03-2008;112;T;Tg/hv;1;AK;0;1;;;;;;;;;;;;;;;;02-06-2007
185;01253/93;;Amanda;;16925/92;15342/90;;;;0;13-12-1992;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
186;01255/93;;Arkibal;;16925/92;15342/90;;;;0;13-12-1992;B1;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
187;01258/93;;Arkimedes;;16925/92;15342/90;;;;0;13-12-1992;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
188;01284/2005;2,08E+14;Kulmosen Ellis;;06040/2002;03404/2001;DKCH;AK, Bp-B. KBHVV 2014;;0;02-01-2005;A;0;0;;14-11-2009;113;T;Rg/hv;1;AK;;0;;;;;;;;;;;;27-10-2017;;;;08-12-2006
189;01299/82;;Tomi Madame;;28383/77;26281/75;;;;0;26-11-1981;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
190;01303/96;;Da Vinci Keddex;;DBZB202154;02453/93;;;;0;29-12-1995;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
191;01304/96;;Da Vinci Kicki;;DBZB202154;02453/93;;;;0;29-12-1995;B;;;;;0;T;Rg/hv;0;AK;1;0;;;;;;;;;;;;;;;;
192;01305/96;;Da Vinci Kelly;;DBZB202154;02453/93;;;;0;29-12-1995;B1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
193;01307/96;;Da Vinci Kimmy;;DBZB202154;02453/93;;;;0;29-12-1995;B2;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
194;01320/97;;Boxerhusets Humle;;04387/91;16021/91;;;;0;;C;;;;;0;H;Tg/hv;0;AK;0;0;;;;;;;;;;;;;;;;31-10-2001
195;01322/97;;Boxerhusets Hortencia;;04387/91;16021/91;;;;0;08-12-1996;B2;;;;;0;T;Tg/hv;0;AK;1;0;;;;;;;;;;;;;;;;
196;01335/78;;Quaste v. Bernbergskopf;;DBZB142495;DBZB137904;;;;0;;0;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
197;01336/78;;Orania v. Bereler Ries;;DBZB137474;DBZB132385;;;;0;;0;;;;;0;T;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;
198;01344/83;;Anja;;02984/80;06805/80;;;;0;27-11-1982;B1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
199;01345/83;;Athene;;02984/80;06805/80;;;;0;27-11-1982;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
200;01355/89;;Öngiden´s Dear;;36244/83;32581/82;;;;0;10-10-1988;E1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
201;01384/74;;Pavehusets Kemall;;KC29243/71;15850/71;;;;0;;0;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
202;DK01411/2009;2,76E+14;Hannah vom Godewind;;DBZB221459;DBZB224548;;;;0;01-08-2008;;;;;;0;T;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;03-02-2009
203;01430/2005;;Moesgaard´s Aros;;03290/2002;13986/2001;;;;0;18-01-2005;A;;;;02-10-2006;126,8600006;H;Tg/hv;0;AK;0;1;;;;;;;;;;;;;;;;28-03-2005
204;01431/2005;zo1355;Aya;;03290/2002;13986/2001;;;;0;18-01-2005;;;;;;0;T;Tg/hv;0;;1;0;;;;;;;;;;;;;;;;05-12-2006
205;01432/86;;Öngiden´s Ayoe;;36244/83;32581/82;;;;0;06-11-1985;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
206;01461/90;;Bavnehøj´s Esfahan;;09118/88;02291/87;;;;0;01-12-1989;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
207;01473/70;;Discos Holmas Af Rosenheim;;259788;285354;;;;0;;P;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
208;01478/85;;De Linde´s Lartino;;08577/78;00554/79;;;;0;20-12-1984;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
209;01479/85;;De Linde´s Leschli;;08577/78;00554/79;;;;0;20-12-1984;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
210;01480/85;;De Linde´s Lartina;;08577/78;00554/79;;;;0;20-12-1984;C1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
211;01481/85;;De Linde´s Line;;08577/78;00554/79;;;;0;20-12-1984;A2;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
212;01486/83;;Musti;;12947/76;16768/80;;;;0;27-08-1982;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
213;01493/87;;Rieckholm´s Jalcon;;36244/83;12200/83;;;;0;14-12-1986;B2;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
214;01494/87;;Rieckholm´s Jardino;;36244/83;12200/83;;;;0;14-12-1986;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
215;01495/87;;Rieckholm´s Jafra;;36244/83;12200/83;;;;0;14-12-1986;A2;;;;;0;T;;0;AK;0;0;;;;;;;;;;;;;;;;
216;01496/87;;Rieckholm´s Josephine;;36244/83;12200/83;;;;0;14-12-1986;A2;;;;;0;T;T;0;AK;0;0;;;;;;;;;;;;;;;;
217;01502/87;;Rieckholm´s Inka;;36244/83;25395/85;;;;0;13-12-1986;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
218;01507/81;;Zacho;;07846/77;30126/76;;;;0;24-06-1980;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
219;01523/87;;Wibox Florie;;33575/81;32039/83;;;;0;15-11-1986;A2;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
220;01523/92;;Klærke´s Bikki;;05783/89;11617/87;;;;0;17-11-1991;A2;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
221;01540/2003;;Dario v. Schenkenberg;;DBZB213091;DBZB213032;;IPO-1, IPO-2, IPO-3;;0;31-12-2001;B;;;;21-11-2005;109,8000031;H;Tg/hv;0;AK;0;1;;;;;;;;;;;;;;;;09-06-2003
222;01551/2001;;Honeybox Indian Scout;;N09937/96;N10397/96;;;;0;07-10-2000;A;;;;;0;H;Tg;0;;0;0;;;;;;;;;;;;;;;;09-05-2002
223;01551/88;;Fraukærs Topper;;21189/87;08694/85;;;;0;25-11-1987;D2;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
224;01559/69;;Barres Tuk;;280647;238459;;;;0;;0;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
225;01559/81;;Rasbo Arkibald;;12027/79;02636/79;;;;0;27-12-1980;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
226;01562/81;;Rasbo Amanda;;12027/79;02636/79;;;;0;27-12-1980;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
227;01564/83;;Zico;;04136/79;16805/76;;;;0;13-12-1982;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
228;01566/83;;Happy;;04136/79;16805/76;;;;0;13-12-1982;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
229;01567/83;;Gina;;04136/79;16805/76;;;;0;13-12-1982;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
230;01568/83;;Gigolo;;04136/79;16805/76;;;;0;13-12-1982;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
231;01583/84;;Allu;;13797/82;13799/82;;;;0;09-12-1983;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
232;01584/84;;Asia;;13797/82;13799/82;;;;0;09-12-1983;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
233;01591/92;;Ajo;;02766/89;01523/87;;;;0;27-07-1991;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
234;01606/82;;Siggis Erikka;;36414/80;07187/79;;;;0;23-12-1981;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
235;01607/79;;Bukelas Jukon;;28383/77;29635/76;;;;0;;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
236;01609/79;;Bukelas Junni;;28383/77;29655/76;;;;0;;1;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
237;01636/99;;Bukelas Ceays;;19629/96;27738/94;;;;0;20-01-1999;E;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
238;01638/2002;;Bugsy Malone;;EJOPLYST;EJOPLYST;;;;0;05-07-1998;A;;;;;0;H;Tg;0;AK;0;0;;;;;;;;;;;;;;;;09-05-2002
239;01638/77;;Jach;;00615/77;11669/73;;;;0;;0;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
240;01670/92;;Sisu-Box´s Elisa;;05783/89;11263/89;;;;0;11-12-1991;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
241;01671/92;;Sisu-Box´s Ecu;;05783/89;11263/89;;;;0;11-12-1991;E1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
242;01672/92;;Sisu-Box´s Elton;;05783/89;11263/89;;;;0;11-12-1991;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
243;01674/92;;Sisu-Box´s Erni;;05783/89;11263/89;;;;0;11-12-1991;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
244;01675/69;;Rudme Jimmy F.h.;;295813;315404;;;;0;;0;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
245;01683/80;;Uniqas Diana;;20467/74;32079/75;;;;0;;1;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
246;01708/92;;Von Drekise Uiu;;06966/90;12577/88;;;;0;22-12-1991;B1;;;;;0;H;Tg;1;AK;0;0;;;;;;;;;;;;;;;;
247;01709/92;;Von Drekise Nimba;;06966/90;12577/88;;;;0;22-12-1991;B1;;;;;0;T;T;0;AK;0;0;;;;;;;;;;;;;;;;
248;01711/92;;Von Drekise Loma;;06966/90;12577/88;;UHP, BHP-3;;0;22-12-1991;A2;;;;;0;T;;0;AK;0;0;;;;;;;;;;;;;;;;
249;01712/92;;Von Drekise Nuba;;06966/90;12577/88;;;;0;22-12-1991;A2;;;;;0;T;T;0;AK;0;0;;;;;;;;;;;;;;;;
250;01748/88;;Næsby Quinni;;09216/84;29862/81;;;;0;06-12-1987;A2;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
251;01751/86;;Bølle;;29160/79;28222/80;;;;0;03-08-1985;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
252;01756/82;;Rickie;;14372/79;09645/75;;;;0;10-09-1981;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
253;01757/2005;2,08E+14;Bitch Ipon Saan;;LOI0251728;HR11297;;;;0;10-07-2003;;;;;;0;T;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;24-06-2007
254;01757/82;;Bella;;14372/79;09645/75;;;;0;10-09-1981;B1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
255;01762/80;;Totters U.f.o.;;07197/74;04685/78;;;;0;;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
256;01763/80;;Totters Ulanova;;07197/74;04685/78;;;;0;;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
257;01764/80;;Totters Ull-Britt;;07197/74;04685/78;;;;0;;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
258;01766/80;;Totters Uniqua;;07197/74;04685/78;;;;0;;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
259;01778/85;;Bongo v. Waldsassen;;DBZB146900;DBZB163607;;;;0;08-06-1984;D2;;;;;0;H;T;0;AK;0;0;;;;;;;;;;;;;;;;
260;01780/2003;v01696;Lajka Box Hajka;;08506/2001;21290/99;;;;0;16-01-2003;C;;;;29-10-2004;104,8600006;H;Rg/hv;0;AK;1;0;;;;;;;;;;;;;;;;26-08-2003
261;01801/80;;Strit Chip;;DBZD46895;XXXX;;;;0;;;;;;;0;T;Tg;0;;0;0;;;;;;;;;;;;;;;;26-05-2006
262;01801/85;;Missy van Worikben;;NHSB1274175;NHSB1196417;;;;0;14-05-1984;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
263;01811/96;;Lindskov´s Faust;;05494/88;12050/92;;;;0;07-01-1996;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
264;01812/80;Død :  1987;Bonnie;;DBCZB7210360;XXX;;;;0;01-08-1977;;;;;;0;T;Rg;1;;0;0;;;;;;;;;;;;;;;;25-05-2006
265;01812/96;;Lindskov´s Ninka;;05494/88;12050/92;;;;0;07-01-1996;;;;;;0;T;;1;AK;0;0;;;;;;;;;;;;;;;;
266;01813/96;;Lindskov´s Kalinka;;05494/88;12050/92;;;;0;07-01-1996;A2;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
267;01841/95;;Cita v. St. Öcken;;DBZB184290;DBZB198053;;FH-2, SPH-2;;0;07-04-1994;C1;;;;;0;T;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;
268;01864/84;;Balder;;16089/78;01202/81;;;;0;11-12-1983;C1;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
269;01864/86;;Fraukærs Rosie;;20070/78;11424/80;;;;0;11-12-1985;D1;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
270;01865/84;;Bobby;;16089/78;01202/81;;;;0;11-12-1983;A2;;;;;0;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
271;01866/84;;Baloo;;16089/78;01202/81;;;;0;11-12-1983;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
272;01869/84;;Bess;;16089/78;01202/81;;;;0;11-12-1983;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
273;01875/73;;Thor;;311745;04676/70;;;;0;;P;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
274;01893/2000;;Damkjær´s Ingo;;DBZB213195;03021/97;;;;0;30-01-2000;;;;;;0;H;;0;;0;0;;;;;;;;;;;;;;;;
275;01896/87;;Von Ellinghaus Owetz;;DBZB174947;09505/82;;;;0;20-12-1986;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
276;01897/2000;;Damkjær´s Ira;;DBZB213195;03021/97;;AK;;0;30-01-2000;A;;;;20-03-2006;112,3600006;T;Rg;1;AK;0;0;;;;;;;;;;;;;;;;26-08-2001
277;01897/87;;Von Ellinghaus Odessa;;DBZB174947;09505/82;;;;0;20-12-1986;B1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
278;01898/87;;Von Ellinghaus Phobia;;09502/82;34418/84;;UHP;;0;05-01-1987;B2;;;;;0;T;Rg/hv;1;AK;0;0;;;;;;;;;;;;;;;;
279;01899/82;;Guldborg Gayus;;DBZB137474;02242/78;;;;0;28-11-1981;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
280;01902/82;;Von Ellinghaus Chiccobello;;DBZB161579;27288/78;;;;0;20-12-1981;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
281;01904/82;;Von Ellinghaus Chester;;DBZB161579;27288/78;;;;0;20-12-1981;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
282;01906/82;;Von Ellinghaus Condor;;DBZB161579;27288/78;;;;0;20-12-1981;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
283;01908/82;;Von Ellinghaus Cindy;;DBZB161579;27288/78;;;;0;20-12-1981;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
284;01950/91;;Asterix;;05783/89;09212/85;;;;0;03-12-1990;A1;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
285;01972/99;;Boxtras Kingo;;15858/98;19838/96;;;;0;01-02-1999;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
286;01975/99;;Boxtras Kaja;;15858/98;19838/96;;Bp-AB, Bp-B, SPH-1, FP;;0;01-02-1999;;;;;;0;T;Rg/hv;1;;0;0;;;;;;;;;;;;;;;;
287;01976/99;;Boxtras Kalinka;;15858/98;19838/96;;;;0;01-02-1999;A1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
288;02004/70;;Nutte;;328308;263241;;;;0;;0;;;;;0;T;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
289;02007/99;;Tri-Ki Pingo;;02245/95;12340/92;;;;0;22-01-1999;A;0;;;17-04-2006;130,8099976;H;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
290;02009/99;po5295;Tri-Ki Playboy;;02245/95;12340/92;;;;0;22-01-1999;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;06-07-2004
291;02010/99;;Tri-Ki Pretty-Princess;;02245/95;12340/92;;AK;;0;22-01-1999;C;;;;05-05-2003;123,1800003;T;Rg/hv;1;AK;1;0;;;;;;;;;;;;;;;;
292;02011/99;;Tri-Ki Pure-Pinja;;02245/95;12340/92;;;;0;22-01-1999;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
293;02037/80;;Taiger;;20151/74;02781/74;;;;0;;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
294;02037/83;;Kissy van Worikben;;NHSB640016;NHSB995779;;;;0;09-10-1979;;;;;;0;T;Rg;1;;0;0;;;;;;;;;;;;;;;;
295;02039/80;;Honey;;20151/74;02781/74;;;;0;;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
296;02040/80;;Bølle;;20151/74;02781/74;;;;0;;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
297;02067/89;;Von Drekise Glück;;DBZB183765;25297/86;;;;0;06-12-1988;A2;;;;;0;H;T;0;AK;0;0;;;;;;;;;;;;;;;;
298;02068/89;;Von Drekise Gamma;;DBZB183765;25297/86;;;;0;06-12-1988;;;;;;0;T;Tg/hv;1;;0;0;;;;;;;;;;;;;;;;01-02-2009
299;02080/71;;Kjellerupgårds King;;310253;251484;;;;0;;0;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
300;02100/2005;2,08E+14;Boss ;;03290/2002;11722/2000;;;;0;21-01-2005;D;1;;;29-01-2007;94,45999908;H;Tg;0;;0;0;;;;;;;;;;;;;;;;20-05-2005
301;02101/2005;2,08E+14;Carlos;;03290/2002;11722/2000;;;;0;21-01-2005;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;11-08-2005
302;02131/2004;X02088;Fujiyama´s Goyoozan;;DBZB211286;06264/99;;;;0;22-12-2003;C;;;;01-03-2010;82;T;Rg/hv;1;AK;0;1;;;;;;;;;;;;;;;;21-02-2004
303;02132/2004;X02089;Fujiyama´s Gassan;;DBZB211286;06264/99;DKCH;BK-HVALPEÅrsvinder-2004;;0;22-12-2003;A;0;;;14-06-2008;115;H;Rg/hv;1;AK;0;1;;;;;;;;;;;;05-07-2014;;;;21-02-2004
304;02133/2004;X02090;Fujiyama´s Gata;;DBZB211286;06264/99;;;;0;22-12-2003;;;;;;0;H;Rg/hv;0;;0;0;;;;;;;;;;;;;;;;21-02-2004
305;02133/87;;Wedels Julie;;04136/79;29035/84;;;;0;20-12-1986;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
306;02134/2004;X02091;Fujiyama´s Garyuuzan;;DBZB211286;06264/99;;;;0;22-12-2003;A;;;;07-08-2006;115,7399979;T;Rg/hv;1;AK;;1;;;;;;;;;;;;24-01-2013;;;;21-02-2004
307;02151/85;;Bartok;;30499/83;03198/83;;;;0;30-12-1984;;;;;;0;H;Rg;0;AK;0;0;;;;;;;;;;;;;;;;
308;02158/84;;Zenca v. Heideloh;;DBZB165185;DBZB154991;;;;0;01-04-1983;A2;;;;;0;T;T;0;AK;0;0;;;;;;;;;;;;;;;;
309;02159/88;;Næsby Rigi;;DBZB177810;35367/84;;;;0;22-12-1987;B1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
310;02159/89;;Biggy v. Nordgraben;;DBZB158679;DBZB162839;;;;0;27-04-1986;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
311;02160/88;;Næsby Rani;;DBZB177810;35367/84;;;;0;22-12-1987;C1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
312;02161/88;;Næsby Ronja;;DBZB177810;35367/84;;;;0;22-12-1987;A2;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
313;02164/94;;Darktaniavondohle;;16401/89;10609/91;;;;0;20-01-1994;D2;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
314;02165/94;;Dittevonlalandia;;16401/89;10609/91;;;;0;20-01-1994;D1;;;;;0;T;Rg/hv;0;AK;0;0;;;;;;;;;;;;;;;;
315;02174/82;;Laika;;14372/79;24402/74;;;;0;09-09-1981;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
316;02176/82;;Banjo;;03944/79;21388/79;;;;0;06-11-1981;;;;;;0;H;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
317;02178/81;;Hertha;;07846/77;30129/76;;;;0;25-07-1980;;;;;;0;T;T/HV;0;AK;0;0;;;;;;;;;;;;;;;;
318;02203/2005;ZO2062;Rieckholms Hakeem;;03290/2002;20360/2003;;;;0;04-01-2004;;;;;;0;H;Tg/hv;0;;0;0;;;;;;;;;;;;;;;;19-02-2005
319;02204/2005;;Rieckholms Hiram;;03290/2002;20360/2003;;;;0;04-01-2005;;;;;;0;H;Tg;0;;0;0;;;;;;;;;;;;;;;;19-02-2005
320;02205/2005;ZO2064;Rieckholms Herkules;;03290/2002;20360/2003;;;;0;04-01-2005;;;;;;0;H;Rg/hv;0;;1;0;;;;;;;;;;;;;;;;19-02-2005
